Name	Compound IUPAC	InChI	Canonical_SMILES	PUBCHEM_CID	Status	Source
(E)-3-Tosylacrylonitrile	(E)-3-(4-methylphenyl)sulfonylprop-2-enenitrile	InChI=1S/C10H9NO2S/c1-9-3-5-10(6-4-9)14(12,13)8-2-7-11/h2-6,8H,1H3/b8-2+	N#C/C=C/S(=O)(=O)c1ccc(cc1)C	5353431	1	AID_1250848_datatable_active
Chaetomugilin I	(7S,8S)-5-chloro-7-hydroxy-3-[(E,3R,4R)-4-hydroxy-3-methylpent-1-enyl]-7-methyl-8-[(E)-3-methyl-2-oxopent-3-enyl]-8H-isochromen-6-one	InChI=1S/C22H27ClO5/c1-6-12(2)19(25)10-18-17-11-28-15(8-7-13(3)14(4)24)9-16(17)20(23)21(26)22(18,5)27/h6-9,11,13-14,18,24,27H,10H2,1-5H3/b8-7+,12-6+/t13-,14-,18+,22+/m1/s1	C/C=C(/C(=O)C[C@H]1C2=COC(=CC2=C(C(=O)[C@@]1(C)O)Cl)/C=C/[C@H]([C@H](O)C)C)\C	44250025	1	AID_1250848_datatable_active
11-Epi-Chaetomugilin I	(7S,8S)-5-chloro-7-hydroxy-3-[(E,3S,4R)-4-hydroxy-3-methylpent-1-enyl]-7-methyl-8-[(E)-3-methyl-2-oxopent-3-enyl]-8H-isochromen-6-one	InChI=1S/C22H27ClO5/c1-6-12(2)19(25)10-18-17-11-28-15(8-7-13(3)14(4)24)9-16(17)20(23)21(26)22(18,5)27/h6-9,11,13-14,18,24,27H,10H2,1-5H3/b8-7+,12-6+/t13-,14+,18-,22-/m0/s1	C/C=C(/C(=O)C[C@H]1C2=COC(=CC2=C(C(=O)[C@@]1(C)O)Cl)/C=C/[C@@H]([C@H](O)C)C)\C	53358201	1	AID_1250848_datatable_active
Chaetomugilin J	(7S,8S)-5-chloro-7-hydroxy-7-methyl-8-[(E)-3-methyl-2-oxopent-3-enyl]-3-[(E,3S)-3-methylpent-1-enyl]-8H-isochromen-6-one	InChI=1S/C22H27ClO4/c1-6-13(3)8-9-15-10-16-17(12-27-15)18(11-19(24)14(4)7-2)22(5,26)21(25)20(16)23/h7-10,12-13,18,26H,6,11H2,1-5H3/b9-8+,14-7+/t13-,18-,22-/m0/s1	CC[C@@H](/C=C/C1=CC2=C(Cl)C(=O)[C@@]([C@H](C2=CO1)CC(=O)/C(=C/C)/C)(C)O)C	44250065	1	AID_1250848_datatable_active
Chaetomugilin E	(1S,10S,12R,13R,14R,17R)-8-chloro-12-methoxy-10,13,14-trimethyl-5-[(E,3S)-3-methylpent-1-enyl]-4,11,15-trioxatetracyclo[8.7.0.02,7.012,17]heptadeca-2,5,7-triene-9,16-dione	InChI=1S/C24H29ClO6/c1-7-12(2)8-9-15-10-16-17(11-29-15)18-19-22(27)30-14(4)13(3)24(19,28-6)31-23(18,5)21(26)20(16)25/h8-14,18-19H,7H2,1-6H3/b9-8+/t12-,13+,14+,18+,19-,23-,24+/m0/s1	CC[C@@H](/C=C/C1=CC2=C(Cl)C(=O)[C@@]3([C@H](C2=CO1)[C@H]1C(=O)O[C@@H]([C@H]([C@]1(O3)OC)C)C)C)C	25148535	1	AID_1250848_datatable_active
Chaetomugilin F	(1R,10S,13R,14R)-8-chloro-10,13,14-trimethyl-5-[(E,3S)-3-methylpent-1-enyl]-4,11,15-trioxatetracyclo[8.7.0.02,7.012,17]heptadeca-2,5,7,12(17)-tetraene-9,16-dione	InChI=1S/C23H25ClO5/c1-6-11(2)7-8-14-9-15-16(10-27-14)18-17-20(12(3)13(4)28-22(17)26)29-23(18,5)21(25)19(15)24/h7-13,18H,6H2,1-5H3/b8-7+/t11-,12+,13+,18+,23-/m0/s1	CC[C@@H](/C=C/C1=CC2=C(Cl)C(=O)[C@@]3([C@H](C2=CO1)C1=C(O3)[C@@H]([C@H](OC1=O)C)C)C)C	25141203	1	AID_1250848_datatable_active
(E)-3-(3-hydroxy-4-methoxyphenyl)-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	(E)-3-(3-hydroxy-4-methoxyphenyl)-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	InChI=1S/C19H20O6/c1-22-16-8-6-12(9-15(16)21)5-7-14(20)13-10-17(23-2)19(25-4)18(11-13)24-3/h5-11,21H,1-4H3/b7-5+	COc1cc(cc(c1OC)OC)C(=O)/C=C/c1ccc(c(c1)O)OC	9884538	1	AID_443496_datatable_active
3-Phenyl-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	(E)-3-phenyl-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	InChI=1S/C18H18O4/c1-20-16-11-14(12-17(21-2)18(16)22-3)15(19)10-9-13-7-5-4-6-8-13/h4-12H,1-3H3/b10-9+	COc1cc(cc(c1OC)OC)C(=O)/C=C/c1ccccc1	6017999	1	AID_443496_datatable_active
3',4',5'-Trimethoxy-3,4-dihydroxychalcone	(E)-3-(3,4-dihydroxyphenyl)-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	InChI=1S/C18H18O6/c1-22-16-9-12(10-17(23-2)18(16)24-3)13(19)6-4-11-5-7-14(20)15(21)8-11/h4-10,20-21H,1-3H3/b6-4+	COc1cc(cc(c1OC)OC)C(=O)/C=C/c1ccc(c(c1)O)O	14977376	1	AID_443496_datatable_active
(e)-1-(4-Hydroxyphenyl)-3-(3,4,5-trimethoxyphenyl)prop-1-en-3-one	(E)-3-(4-hydroxyphenyl)-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	InChI=1S/C18H18O5/c1-21-16-10-13(11-17(22-2)18(16)23-3)15(20)9-6-12-4-7-14(19)8-5-12/h4-11,19H,1-3H3/b9-6+	COc1cc(cc(c1OC)OC)C(=O)/C=C/c1ccc(cc1)O	9883318	1	AID_443496_datatable_active
3-(4-Methoxyphenyl)-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	(E)-3-(4-methoxyphenyl)-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	InChI=1S/C19H20O5/c1-21-15-8-5-13(6-9-15)7-10-16(20)14-11-17(22-2)19(24-4)18(12-14)23-3/h5-12H,1-4H3/b10-7+	COc1ccc(cc1)/C=C/C(=O)c1cc(OC)c(c(c1)OC)OC	9905484	1	AID_443496_datatable_active
(E)-3-(3-hydroxyphenyl)-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	(E)-3-(3-hydroxyphenyl)-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	InChI=1S/C18H18O5/c1-21-16-10-13(11-17(22-2)18(16)23-3)15(20)8-7-12-5-4-6-14(19)9-12/h4-11,19H,1-3H3/b8-7+	COc1cc(cc(c1OC)OC)C(=O)/C=C/c1cccc(c1)O	42630873	1	AID_443496_datatable_active
(E)-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)prop-2-en-1-one	(E)-1-(4-hydroxy-3,5-dimethoxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)prop-2-en-1-one	InChI=1S/C18H18O6/c1-22-15-7-5-11(8-14(15)20)4-6-13(19)12-9-16(23-2)18(21)17(10-12)24-3/h4-10,20-21H,1-3H3/b6-4+	COc1ccc(cc1O)/C=C/C(=O)c1cc(OC)c(c(c1)OC)O	21058746	1	AID_443496_datatable_active
(E)-3-(3-hydroxy-4-methoxyphenyl)-1-(4-methoxyphenyl)prop-2-en-1-one	(E)-3-(3-hydroxy-4-methoxyphenyl)-1-(4-methoxyphenyl)prop-2-en-1-one	InChI=1S/C17H16O4/c1-20-14-7-5-13(6-8-14)15(18)9-3-12-4-10-17(21-2)16(19)11-12/h3-11,19H,1-2H3/b9-3+	COc1ccc(cc1)C(=O)/C=C/c1ccc(c(c1)O)OC	8020690	1	AID_443496_datatable_active
(E)-1-(3,5-dimethoxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)prop-2-en-1-one	(E)-1-(3,5-dimethoxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)prop-2-en-1-one	InChI=1S/C18H18O5/c1-21-14-9-13(10-15(11-14)22-2)16(19)6-4-12-5-7-18(23-3)17(20)8-12/h4-11,20H,1-3H3/b6-4+	COc1cc(OC)cc(c1)C(=O)/C=C/c1ccc(c(c1)O)OC	9818298	1	AID_443496_datatable_active
(E)-3-[3-(2-aminoethoxy)-4-methoxyphenyl]-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	(E)-3-[3-(2-aminoethoxy)-4-methoxyphenyl]-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	InChI=1S/C21H25NO6/c1-24-17-8-6-14(11-18(17)28-10-9-22)5-7-16(23)15-12-19(25-2)21(27-4)20(13-15)26-3/h5-8,11-13H,9-10,22H2,1-4H3/b7-5+	NCCOc1cc(/C=C/C(=O)c2cc(OC)c(c(c2)OC)OC)ccc1OC	44550366	1	AID_443496_datatable_active
3-Bromo-4',6'-dimethoxy-2'-hydroxychalcone	(E)-3-(3-bromophenyl)-1-(2-hydroxy-4,6-dimethoxyphenyl)prop-2-en-1-one	InChI=1S/C17H15BrO4/c1-21-13-9-15(20)17(16(10-13)22-2)14(19)7-6-11-4-3-5-12(18)8-11/h3-10,20H,1-2H3/b7-6+	COc1cc(O)c(c(c1)OC)C(=O)/C=C/c1cccc(c1)Br	5968397	1	AID_443496_datatable_active
(E)-1-(2-hydroxy-4,6-dimethoxyphenyl)-3-(3-methylphenyl)prop-2-en-1-one	(E)-1-(2-hydroxy-4,6-dimethoxyphenyl)-3-(3-methylphenyl)prop-2-en-1-one	InChI=1S/C18H18O4/c1-12-5-4-6-13(9-12)7-8-15(19)18-16(20)10-14(21-2)11-17(18)22-3/h4-11,20H,1-3H3/b8-7+	COc1cc(O)c(c(c1)OC)C(=O)/C=C/c1cccc(c1)C	44550363	1	AID_443496_datatable_active
(E)-3-[3-(2-hydroxyethoxy)-4-methoxyphenyl]-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	(E)-3-[3-(2-hydroxyethoxy)-4-methoxyphenyl]-1-(3,4,5-trimethoxyphenyl)prop-2-en-1-one	InChI=1S/C21H24O7/c1-24-17-8-6-14(11-18(17)28-10-9-22)5-7-16(23)15-12-19(25-2)21(27-4)20(13-15)26-3/h5-8,11-13,22H,9-10H2,1-4H3/b7-5+	OCCOc1cc(/C=C/C(=O)c2cc(OC)c(c(c2)OC)OC)ccc1OC	44550365	1	AID_443496_datatable_active
1-(3,4-Dimethoxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)-2-propene-1-one	(E)-1-(3,4-dimethoxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)prop-2-en-1-one	InChI=1S/C18H18O5/c1-21-16-8-5-12(10-15(16)20)4-7-14(19)13-6-9-17(22-2)18(11-13)23-3/h4-11,20H,1-3H3/b7-4+	COc1ccc(cc1O)/C=C/C(=O)c1ccc(c(c1)OC)OC	6039866	1	AID_443496_datatable_active
(-)-Parthenolide	(1S,2S,4R,11S)-4,8-dimethyl-12-methylidene-3,14-dioxatricyclo[9.3.0.02,4]tetradec-7-en-13-one	InChI=1S/C15H20O3/c1-9-5-4-8-15(3)13(18-15)12-11(7-6-9)10(2)14(16)17-12/h5,11-13H,2,4,6-8H2,1,3H3/t11-,12-,13-,15+/m0/s1	CC1=CCC[C@@]2(C)O[C@H]2[C@@H]2[C@@H](CC1)C(=C)C(=O)O2	108068	1	AID_1236782_datatable_active
3-[3-[4-[3-(2-Oxo-1,3-benzoxazol-3-yl)propyl]piperazin-1-yl]propyl]-1,3-benzoxazol-2-one	3-[3-[4-[3-(2-oxo-1,3-benzoxazol-3-yl)propyl]piperazin-1-yl]propyl]-1,3-benzoxazol-2-one	InChI=1S/C24H28N4O4/c29-23-27(19-7-1-3-9-21(19)31-23)13-5-11-25-15-17-26(18-16-25)12-6-14-28-20-8-2-4-10-22(20)32-24(28)30/h1-4,7-10H,5-6,11-18H2	O=c1oc2c(n1CCCN1CCN(CC1)CCCn1c(=O)oc3c1cccc3)cccc2	58511920	1	AID_1236782_datatable_active
3-[4-[4-[4-(2-Oxo-1,3-benzothiazol-3-yl)butyl]piperazin-1-yl]butyl]-1,3-benzothiazol-2-one	3-[4-[4-[4-(2-oxo-1,3-benzothiazol-3-yl)butyl]piperazin-1-yl]butyl]-1,3-benzothiazol-2-one	InChI=1S/C26H32N4O2S2/c31-25-29(21-9-1-3-11-23(21)33-25)15-7-5-13-27-17-19-28(20-18-27)14-6-8-16-30-22-10-2-4-12-24(22)34-26(30)32/h1-4,9-12H,5-8,13-20H2	O=c1sc2c(n1CCCCN1CCN(CC1)CCCCn1c(=O)sc3c1cccc3)cccc2	122183392	1	AID_1236782_datatable_active
3-[5-[4-[5-(2-Oxo-1,3-benzoxazol-3-yl)pentyl]piperazin-1-yl]pentyl]-1,3-benzoxazol-2-one	3-[5-[4-[5-(2-oxo-1,3-benzoxazol-3-yl)pentyl]piperazin-1-yl]pentyl]-1,3-benzoxazol-2-one	InChI=1S/C28H36N4O4/c33-27-31(23-11-3-5-13-25(23)35-27)17-9-1-7-15-29-19-21-30(22-20-29)16-8-2-10-18-32-24-12-4-6-14-26(24)36-28(32)34/h3-6,11-14H,1-2,7-10,15-22H2	O=c1oc2c(n1CCCCCN1CCN(CC1)CCCCCn1c(=O)oc3c1cccc3)cccc2	58511877	1	AID_1236782_datatable_active
3-[5-[4-[5-(2-Oxo-1,3-benzothiazol-3-yl)pentyl]piperazin-1-yl]pentyl]-1,3-benzothiazol-2-one	3-[5-[4-[5-(2-oxo-1,3-benzothiazol-3-yl)pentyl]piperazin-1-yl]pentyl]-1,3-benzothiazol-2-one	InChI=1S/C28H36N4O2S2/c33-27-31(23-11-3-5-13-25(23)35-27)17-9-1-7-15-29-19-21-30(22-20-29)16-8-2-10-18-32-24-12-4-6-14-26(24)36-28(32)34/h3-6,11-14H,1-2,7-10,15-22H2	O=c1sc2c(n1CCCCCN1CCN(CC1)CCCCCn1c(=O)sc3c1cccc3)cccc2	122183393	1	AID_1236782_datatable_active
