Title/Synonyms	IUPAC	InChI	Isomeric_SMILES	Canonical_SMILES	PUBCHEM_CID	Status	Source
6-{[4-(Tert-butylamino)-6-methoxy-1,3,5-triazin-2-yl]oxy}pyridazin-3-ol/STK974722	3-[[4-(tert-butylamino)-6-methoxy-1,3,5-triazin-2-yl]oxy]-1H-pyridazin-6-one	InChI=1S/C12H16N6O3/c1-12(2,3)16-9-13-10(20-4)15-11(14-9)21-8-6-5-7(19)17-18-8/h5-6H,1-4H3,(H,17,19)(H,13,14,15,16)	CC(C)(C)NC1=NC(=NC(=N1)OC2=NNC(=O)C=C2)OC	COc1nc(nc(n1)NC(C)(C)C)Oc1ccc(=O)[nH]n1	3580535	1	AID_1259240_datatable_active
2-[(6-oxo-3-pyrrolidin-1-yl-6H-anthra[1,9-cd]isoxazol-5-yl)amino]ethyl propionate/ZINC4961926	2-[(8-oxo-12-pyrrolidin-1-yl-15-oxa-14-azatetracyclo[7.6.1.02,7.013,16]hexadeca-1(16),2,4,6,9,11,13-heptaen-10-yl)amino]ethyl propanoate	InChI=1S/C23H23N3O4/c1-2-18(27)29-12-9-24-16-13-17(26-10-5-6-11-26)21-20-19(16)22(28)14-7-3-4-8-15(14)23(20)30-25-21/h3-4,7-8,13,24H,2,5-6,9-12H2,1H3	CCC(=O)OCCNC1=C2C3=C(C4=CC=CC=C4C2=O)ON=C3C(=C1)N5CCCC5	CCC(=O)OCCNc1cc(N2CCCC2)c2c3c1C(=O)c1ccccc1-c3on2	20867949	1	AID_1259240_datatable_active
N-[(4-chlorophenyl)methyl]-7H-purin-6-amine/4217-46-3	N-[(4-chlorophenyl)methyl]-7H-purin-6-amine	InChI=1S/C12H10ClN5/c13-9-3-1-8(2-4-9)5-14-11-10-12(16-6-15-10)18-7-17-11/h1-4,6-7H,5H2,(H2,14,15,16,17,18)	C1=CC(=CC=C1CNC2=NC=NC3=C2NC=N3)Cl	Clc1ccc(cc1)CNc1ncnc2c1[nH]cn2	977087	1	AID_1259240_datatable_active
3-Hydroxy-6-methoxy-3-(trifluoromethyl)indolin-2-one/3-Hydroxy-6-methoxy-3-(trifluoromethyl)indolin-2-one	3-hydroxy-6-methoxy-3-(trifluoromethyl)-1H-indol-2-one	InChI=1S/C10H8F3NO3/c1-17-5-2-3-6-7(4-5)14-8(15)9(6,16)10(11,12)13/h2-4,16H,1H3,(H,14,15)	COC1=CC2=C(C=C1)C(C(=O)N2)(C(F)(F)F)O	COc1ccc2c(c1)NC(=O)C2(O)C(F)(F)F	4399749	1	AID_1259240_datatable_active
N,N'-bis(2,2,6,6-tetramethylpiperidin-4-yl)oxamide/N,N'-bis(2,2,6,6-tetramethylpiperidin-4-yl)oxamide	N,N'-bis(2,2,6,6-tetramethylpiperidin-4-yl)oxamide	InChI=1S/C20H38N4O2/c1-17(2)9-13(10-18(3,4)23-17)21-15(25)16(26)22-14-11-19(5,6)24-20(7,8)12-14/h13-14,23-24H,9-12H2,1-8H3,(H,21,25)(H,22,26)	CC1(CC(CC(N1)(C)C)NC(=O)C(=O)NC2CC(NC(C2)(C)C)(C)C)C	O=C(C(=O)NC1CC(C)(C)NC(C1)(C)C)NC1CC(C)(C)NC(C1)(C)C	580079	1	AID_1259312_datatable_active
1-[[2-[(2-Hydroxynaphthalen-1-yl)methylamino]ethylamino]methyl]naphthalen-2-ol/1-[[2-[(2-hydroxynaphthalen-1-yl)methylamino]ethylamino]methyl]naphthalen-2-ol	1-[[2-[(2-hydroxynaphthalen-1-yl)methylamino]ethylamino]methyl]naphthalen-2-ol	InChI=1S/C24H24N2O2/c27-23-11-9-17-5-1-3-7-19(17)21(23)15-25-13-14-26-16-22-20-8-4-2-6-18(20)10-12-24(22)28/h1-12,25-28H,13-16H2	C1=CC=C2C(=C1)C=CC(=C2CNCCNCC3=C(C=CC4=CC=CC=C43)O)O	Oc1ccc2c(c1CNCCNCc1c(O)ccc3c1cccc3)cccc2	4031445	1	AID_1259312_datatable_active
Pyridine-2,6-dicarbohydrazide/pyridine-2,6-dicarbohydrazide	pyridine-2,6-dicarbohydrazide	InChI=1S/C7H9N5O2/c8-11-6(13)4-2-1-3-5(10-4)7(14)12-9/h1-3H,8-9H2,(H,11,13)(H,12,14)	C1=CC(=NC(=C1)C(=O)NN)C(=O)NN	NNC(=O)c1cccc(n1)C(=O)NN	225358	1	AID_1259312_datatable_active
Ethyl 4-amino-1,2,5-oxadiazole-3-carboxylate/ethyl 4-amino-1,2,5-oxadiazole-3-carboxylate	ethyl 4-amino-1,2,5-oxadiazole-3-carboxylate	InChI=1S/C5H7N3O3/c1-2-10-5(9)3-4(6)8-11-7-3/h2H2,1H3,(H2,6,8)	CCOC(=O)C1=NON=C1N	CCOC(=O)c1nonc1N	1244576	1	AID_1259312_datatable_active
6-[(1E)-2-(4-bromophenyl)vinyl]-5-nitropyrimidine-2,4-diol/SCHEMBL16035437	6-[(E)-2-(4-bromophenyl)ethenyl]-5-nitro-1H-pyrimidine-2,4-dione	InChI=1S/C12H8BrN3O4/c13-8-4-1-7(2-5-8)3-6-9-10(16(19)20)11(17)15-12(18)14-9/h1-6H,(H2,14,15,17,18)/b6-3+	C1=CC(=CC=C1/C=C/C2=C(C(=O)NC(=O)N2)[N+](=O)[O-])Br	Brc1ccc(cc1)/C=C/c1[nH]c(=O)[nH]c(=O)c1[N+](=O)[O-]	5738185	1	AID_1259312_datatable_active
4-Chlorobenzyl carbamimidothioate/4-chlorobenzyl carbamimidothioate	(4-chlorophenyl)methyl carbamimidothioate	InChI=1S/C8H9ClN2S/c9-7-3-1-6(2-4-7)5-12-8(10)11/h1-4H,5H2,(H3,10,11)	C1=CC(=CC=C1CSC(=N)N)Cl	NC(=N)SCc1ccc(cc1)Cl	68343	1	AID_1259312_datatable_active
4,4-dimethyl-4,5-dihydro-1H-[1,2]dithiolo[3,4-c]quinoline-1-thione/4,4-dimethyl-4,5-dihydro-1H-[1,2]dithiolo[3,4-c]quinoline-1-thione	4,4-dimethyl-5H-dithiolo[3,4-c]quinoline-1-thione	InChI=1S/C12H11NS3/c1-12(2)10-9(11(14)16-15-10)7-5-3-4-6-8(7)13-12/h3-6,13H,1-2H3	CC1(C2=C(C3=CC=CC=C3N1)C(=S)SS2)C	S=c1ssc2c1-c1ccccc1NC2(C)C	3090505	1	AID_1259312_datatable_active
8-methoxy-4,4-dimethyl-4,5-dihydro-1H-[1,2]dithiolo[3,4-c]quinoline-1-thione/8-methoxy-4,4-dimethyl-4,5-dihydro-1H-[1,2]dithiolo[3,4-c]quinoline-1-thione	8-methoxy-4,4-dimethyl-5H-dithiolo[3,4-c]quinoline-1-thione	InChI=1S/C13H13NOS3/c1-13(2)11-10(12(16)18-17-11)8-6-7(15-3)4-5-9(8)14-13/h4-6,14H,1-3H3	CC1(C2=C(C3=C(N1)C=CC(=C3)OC)C(=S)SS2)C	COc1ccc2c(-c3c(=S)ssc3C(N2)(C)C)c1	1983334	1	AID_1259312_datatable_active
2-amino-4-(2,4-dichlorophenyl)-6,7,8,9-tetrahydro-5H-cyclohepta[b]pyridine-3-carbonitrile/2-amino-4-(2,4-dichlorophenyl)-6,7,8,9-tetrahydro-5H-cyclohepta[b]pyridine-3-carbonitrile	2-amino-4-(2,4-dichlorophenyl)-6,7,8,9-tetrahydro-5H-cyclohepta[b]pyridine-3-carbonitrile	InChI=1S/C17H15Cl2N3/c18-10-6-7-11(14(19)8-10)16-12-4-2-1-3-5-15(12)22-17(21)13(16)9-20/h6-8H,1-5H2,(H2,21,22)	C1CCC2=C(CC1)N=C(C(=C2C3=C(C=C(C=C3)Cl)Cl)C#N)N	N#Cc1c(N)nc2c(c1c1ccc(cc1Cl)Cl)CCCCC2	668069	1	AID_1259312_datatable_active
2-Amino-4-(3-bromophenyl)-5,6,7,8-tetrahydroquinoline-3-carbonitrile/2-amino-4-(3-bromophenyl)-5,6,7,8-tetrahydroquinoline-3-carbonitrile	2-amino-4-(3-bromophenyl)-5,6,7,8-tetrahydroquinoline-3-carbonitrile	InChI=1S/C16H14BrN3/c17-11-5-3-4-10(8-11)15-12-6-1-2-7-14(12)20-16(19)13(15)9-18/h3-5,8H,1-2,6-7H2,(H2,19,20)	C1CCC2=C(C1)C(=C(C(=N2)N)C#N)C3=CC(=CC=C3)Br	N#Cc1c(N)nc2c(c1c1cccc(c1)Br)CCCC2	668131	1	AID_1259312_datatable_active
