smiles,status
OC(=O)c1cccnc1,1
O=C1CN(C(=O)N1)N=Cc1ccc(o1)c1ccc(cc1)[N+](=O)[O-],1
OCC(COC(=O)c1ccccc1Nc1ccnc2c1ccc(c2)Cl)O,1
CC(NNC(=O)c1ccncc1)C,1
O=C(NCc1ccccc1)CCNNC(=O)c1ccncc1,1
CN1CC(c2ccccc2)c2c(C1)c(N)ccc2,1
Nc1ccc(cc1)S(=O)(=O)Nc1nccs1,1
CCCCCCCCNC(C(c1ccc(cc1)SC(C)C)O)C,1
CN(CCCC1c2ccccc2Nc2c1cc(Cl)cc2)C,1
OC(=O)Cc1csc(n1)c1ccc(cc1)Cl,1
OCC1OC(O)C(C(C1OS(=O)(=O)O)OC1OC(C(=O)O)C(C(C1O)O)O)NC(=O)C,1
OCC1OC(CC1N=[N+]=[N-])n1cc(C)c(=O)[nH]c1=O,1
Clc1ccc(c(c1)Cl)C1(OCC(O1)COc1ccc(cc1)N1CCN(CC1)C(=O)C)Cn1cncc1,1
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,1
ON(C(c1cc2c(s1)cccc2)C)C(=O)N,1
OC(=O)Cc1cccc(c1N)C(=O)c1ccc(cc1)Br,1
Brc1cc(C)c2c(c1O)nccc2,1
[O-][N+](=O)c1ccc(cc1)n1cc(nc1C)[N+](=O)[O-],1
CCOC1OC(=O)CC1NC(=O)C1CCCN2N1C(=O)C(CCC2=O)NC(=O)c1nccc2c1cccc2,1
CCOC(C(=O)c1ccc(cc1)c1ccccc1)Nc1ccc(cc1)C(=O)O,1
CCCCN1C(=O)C(NC(=O)C21CCN(CC2)Cc1ccc(cc1)Oc1ccc(cc1)C(=O)O)C(C1CCCCC1)O,1
CN(Cc1ccc(o1)CSCCNC(=C[N+](=O)[O-])NCc1ccc2c(c1)OCO2)C,1
CN(NN=C1N=CN=C1C(=O)N)C,1
O=C1NC(=O)N(C1)N=Cc1ccc(o1)[N+](=O)[O-],1
CON=C(c1ccc(cc1)c1ccc(o1)c1ccc(cc1)C(=NOC)N)N,1
CN1CCC(CC1)Nc1ncc2c(n1)c(ncn2)Nc1ccc(c(c1)Cl)F,1
NC1CCCCC1N,1
OC(=O)c1cccc(c1)C1=CC=CC(=NNc2c(C)[nH]n(c2=O)c2ccc(c(c2)C)C)C1=O,1
CCCC(C(=O)O)CCC,1
CC(C(=O)OC(Cc1ccc(cc1)Cl)(C)C)N,1
OC(=O)COc1nn(c2c1cccc2)Cc1ccccc1,1
O=C1Nc2c(C)ccnc2N(c2c1cccn2)C1CC1,1
O=C1NC(C(=O)N1c1ccc(c(c1)C(F)(F)F)[N+](=O)[O-])(C)C,1
Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,1
CN1CCCC(C1)CN1c2ccccc2Sc2c1cccc2,1
NNC(c1ccccc1)C,1
CCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)O)cccc2,1
Clc1ccc2c(c1)N(CCCN1CCC(CC1)C(=O)N)c1c(S2)cccc1,1
NC(=O)NS(=O)(=O)c1ccc(cc1)N,1
CC(=O)Oc1ccc(cc1)C1(c2ccc(cc2)OC(=O)C)C(=O)N(c2c1cccc2)C(=O)C,1
C=CCOc1ccc(cc1Cl)CC(=O)O,1
O=C(c1ccc(c(c1O)O)O)c1cc(O)c(c(c1)O)O,1
FC(C1(C#CC2CC2)OC(=O)Nc2c1cc(Cl)cc2)(F)F,1
CCCC1(CCc2ccccc2)CC(=O)C(=C(O1)O)C(c1cccc(c1)NS(=O)(=O)c1ccc(cn1)C(F)(F)F)CC,1
O=c1oc2-c3ccccc3S(=O)(=O)N(c2c(=O)n1c1ccccn1)C,1
CC(Nc1ncccn1)C,1
NNC(COc1ccccc1)C,1
CCCCOCC(CN1C(=O)N(CC(OC(=O)N)COCCCC)C(=O)C(C1=O)(CC)c1ccccc1)OC(=O)N,1
CC(CN(S(=O)(=O)c1ccc(cc1)N)CC(C(Cc1ccccc1)NC(=O)OC1COC2C1CCO2)O)C,1
CC(Cn1cnc2c1ncnc2N)OCP(=O)(O)O,1
CCOC(=O)CNC(C(=O)N1CCC1C(=O)NCc1ccc(cc1)C(=NO)N)C1CCCCC1,1
Cc1ccc2c3c1CCc3c1c(c2)c2ccccc2cc1,1
Clc1cc(Sc2cc(Cl)cc(c2O)Cl)c(c(c1)Cl)O,1
O=C1NC(=O)C(S1)Cc1ccc(cc1)OCC1(C)CCCCC1,1
Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1,1
COC(=O)C(c1ccccc1)C1CCCCN1,1
CN1CCN2C(C1)c1ccccc1Cc1c2cccc1,1
Nc1ccc(cc1)S(=O)(=O)N,1
ClC(Cl)(Cl)Cl,1
O=C(N(CCCCCCCCCCN(C(=O)Oc1cccc(c1)[N+](C)(C)C)C)C)Oc1cccc(c1)[N+](C)(C)C,1
C#CC1(O)CCC2C1(C)CCC1C2CCc2c1ccc(c2)O,1
ClCCN(c1c[nH]c(=O)[nH]c1=O)CCCl,1
c1ccc2c(c1)Sc1c(N2)cccc1,1
OCC=C,1
Brc1ccccc1,1
CN(CCN(c1ccccn1)Cc1cccs1)C,1
CC(=O)CC(c1c(O)oc2c(c1=O)cccc2)c1ccc(cc1)[N+](=O)[O-],1
COc1cc2OC3C(c2c2c1c1CCC(=O)c1c(=O)o2)C=CO3,1
OC(=O)C1N2C(=O)C(C2SC1(C)C)NC(=O)c1c(C)onc1c1c(Cl)cccc1Cl,1
OC(=O)COc1cc2CC(C(=O)c2c(c1Cl)Cl)(C)c1ccccc1,1
CC1NCCN(C1)c1cc2n(cc(c(=O)c2cc1F)C(=O)O)c1ccc(cc1F)F,1
C=CCOC=O,1
NCCNCCNCCN,1
OC(=O)C1(CCC1)C(=O)O,1
C1CCC(NC1)CC(C1CCCCC1)C1CCCCC1,1
